stock_date,weeknum,is_high_gt_0_25,is_high_gt_0_5,is_high_gt_0_75,is_high_gt_1,is_high_gt_1_1,is_high_gt_1_2,is_high_gt_1_3,is_high_gt_1_4,is_high_gt_1_5,is_high_gt_1_6,is_high_gt_2
1/18/24,3,1,1,1,1,,,,,,,
1/19/24,3,1,1,1,1,1,1,1,1,1,1,1
1/22/24,4,,,,,,,,,,,
1/23/24,4,1,,,,,,,,,,
1/24/24,4,1,1,,,,,,,,,
1/25/24,4,1,1,,,,,,,,,
1/26/24,4,1,1,1,,,,,,,,
1/29/24,5,1,1,1,1,1,1,1,1,1,1,1
1/30/24,5,1,1,1,,,,,,,,
1/31/24,5,1,1,1,1,,,,,,,
2/1/24,5,1,1,1,1,1,1,1,1,1,1,1
2/5/24,6,1,1,,,,,,,,,
2/6/24,6,1,1,,,,,,,,,
2/7/24,6,1,1,1,1,,,,,,,
2/8/24,6,1,,,,,,,,,,
2/9/24,6,1,1,1,1,1,1,1,1,1,1,
2/12/24,7,1,1,1,1,,,,,,,
2/13/24,7,1,1,1,,,,,,,,
2/14/24,7,1,1,1,1,,,,,,,
2/15/24,7,1,1,1,1,1,1,1,,,,
2/16/24,7,1,1,1,,,,,,,,
2/20/24,8,1,1,,,,,,,,,
2/21/24,8,1,1,1,1,1,1,,,,,
2/22/24,8,1,1,1,1,1,1,1,1,1,1,1
2/23/24,8,1,1,,,,,,,,,
2/26/24,9,,,,,,,,,,,
2/27/24,9,1,,,,,,,,,,
2/28/24,9,1,1,,,,,,,,,
2/29/24,9,1,1,,,,,,,,,
3/1/24,9,1,1,1,1,1,1,1,1,1,1,1
3/4/24,10,1,1,,,,,,,,,
3/5/24,10,1,,,,,,,,,,
3/6/24,10,1,1,1,,,,,,,,
3/7/24,10,1,1,1,1,1,1,1,1,1,1,
3/8/24,10,1,1,1,1,1,1,1,1,1,1,
3/11/24,11,1,1,,,,,,,,,
3/12/24,11,1,1,1,1,1,1,1,1,1,1,1
3/13/24,11,1,,,,,,,,,,
3/14/24,11,1,1,,,,,,,,,
3/15/24,11,1,,,,,,,,,,
3/18/24,12,1,1,1,1,1,1,1,,,,
3/19/24,12,1,1,1,1,1,1,1,1,1,1,1
3/20/24,12,1,1,1,1,1,1,1,1,1,1,1
3/21/24,12,1,,,,,,,,,,
3/22/24,12,1,,,,,,,,,,
3/25/24,13,1,1,,,,,,,,,
3/26/24,13,,,,,,,,,,,
3/27/24,13,1,1,,,,,,,,,
3/28/24,13,1,,,,,,,,,,
4/1/24,14,1,,,,,,,,,,
4/2/24,14,1,,,,,,,,,,
4/3/24,14,1,1,1,1,1,1,1,1,1,1,1
4/4/24,14,1,,,,,,,,,,
4/5/24,14,1,1,1,1,1,1,1,1,1,1,1
4/8/24,15,1,1,,,,,,,,,
4/9/24,15,1,,,,,,,,,,
4/10/24,15,1,1,1,1,1,1,1,1,1,1,1
4/11/24,15,1,1,1,1,1,1,1,1,1,1,1
4/12/24,15,1,1,1,1,1,1,1,1,,,
4/15/24,16,1,1,,,,,,,,,
4/16/24,16,1,1,1,1,1,1,1,1,,,
4/17/24,16,1,1,1,,,,,,,,
4/18/24,16,1,1,1,1,1,1,1,1,1,1,
4/19/24,16,1,1,1,1,1,1,1,1,1,,
4/22/24,17,1,1,1,1,1,1,1,1,1,1,1
4/23/24,17,1,1,1,1,1,1,1,1,1,1,1
4/24/24,17,1,1,1,1,,,,,,,
4/25/24,17,1,1,1,1,1,1,1,1,1,1,1
4/26/24,17,1,1,1,1,1,1,1,1,1,1,1
4/29/24,18,1,,,,,,,,,,
4/30/24,18,1,1,1,1,,,,,,,
5/1/24,18,1,1,1,1,1,1,1,1,1,1,1
5/2/24,18,1,1,1,,,,,,,,
5/3/24,18,1,1,1,1,1,,,,,,
5/6/24,19,1,1,1,1,1,1,1,1,1,1,
5/7/24,19,1,,,,,,,,,,
5/8/24,19,1,1,1,1,1,1,,,,,
5/9/24,19,1,1,1,1,1,1,1,1,1,1,
5/10/24,19,1,1,,,,,,,,,
5/13/24,20,1,,,,,,,,,,
5/14/24,20,1,1,1,,,,,,,,
5/15/24,20,1,1,1,1,1,1,1,1,1,1,1
5/16/24,20,1,1,1,1,,,,,,,
5/17/24,20,1,1,,,,,,,,,
5/20/24,21,1,1,1,,,,,,,,
5/21/24,21,1,1,1,1,1,1,1,,,,
5/22/24,21,1,1,1,1,1,1,,,,,
5/23/24,21,1,1,,,,,,,,,
5/24/24,21,1,1,1,1,1,1,1,1,1,1,
5/28/24,22,1,,,,,,,,,,
5/29/24,22,1,1,1,1,,,,,,,
5/30/24,22,1,1,,,,,,,,,
5/31/24,22,1,1,1,1,1,1,1,1,1,1,1
6/3/24,23,1,,,,,,,,,,
6/4/24,23,1,1,1,1,1,1,1,1,,,
6/5/24,23,1,1,1,1,1,1,1,1,1,1,1
6/6/24,23,1,1,,,,,,,,,
6/7/24,23,1,1,1,1,1,1,1,1,1,1,1
6/10/24,24,1,1,1,,,,,,,,
6/11/24,24,1,1,1,1,1,,,,,,
6/12/24,24,1,1,1,1,1,1,1,1,1,1,1
6/13/24,24,1,,,,,,,,,,
6/14/24,24,1,1,1,,,,,,,,
6/17/24,25,1,1,1,1,1,1,1,1,1,1,1
6/18/24,25,1,1,,,,,,,,,
6/20/24,25,1,1,,,,,,,,,
6/21/24,25,1,1,,,,,,,,,
6/24/24,26,1,1,1,1,1,1,1,1,1,,
6/25/24,26,1,1,,,,,,,,,
6/26/24,26,1,1,1,1,1,1,1,1,,,
6/27/24,26,1,1,1,,,,,,,,
6/28/24,26,1,1,1,1,1,1,1,1,1,1,
7/1/24,27,1,1,,,,,,,,,
7/2/24,27,1,1,1,1,1,1,1,1,1,1,1
7/3/24,27,1,1,1,1,1,1,1,1,1,1,
7/5/24,27,1,1,1,1,1,1,1,1,1,1,1
7/8/24,28,1,,,,,,,,,,
7/9/24,28,1,,,,,,,,,,
7/10/24,28,1,1,1,1,1,1,1,1,1,1,1
7/11/24,28,1,1,1,,,,,,,,
7/12/24,28,1,1,1,1,1,1,1,1,1,1,1
7/15/24,29,1,1,1,1,1,1,1,1,1,,
7/16/24,29,1,1,1,1,1,,,,,,
7/17/24,29,1,1,1,1,1,1,1,1,1,,
7/18/24,29,1,1,1,,,,,,,,
7/19/24,29,1,1,1,1,1,1,1,1,1,1,
7/22/24,30,1,1,1,1,1,1,1,1,1,,
7/23/24,30,1,1,1,1,1,1,1,1,1,,
7/24/24,30,1,1,1,1,1,1,,,,,
7/25/24,30,1,1,1,1,1,1,1,1,1,1,1
7/26/24,30,1,1,1,1,1,1,1,1,1,1,1
7/29/24,31,1,1,1,1,,,,,,,
7/30/24,31,1,1,1,1,1,1,,,,,
7/31/24,31,1,1,1,1,1,1,1,1,1,1,1
8/1/24,31,1,1,1,1,1,1,1,1,1,1,1
8/2/24,31,1,1,1,1,1,1,1,1,1,1,1
8/5/24,32,1,1,1,1,1,1,1,1,1,1,1
8/6/24,32,1,1,1,1,1,1,1,1,1,1,1
8/7/24,32,1,1,1,1,1,1,1,1,1,1,1
8/8/24,32,1,1,1,1,1,1,1,1,1,1,1
8/9/24,32,1,1,1,1,1,1,1,1,1,1,1
8/12/24,33,1,1,1,1,1,,,,,,
8/13/24,33,1,1,1,1,1,1,1,1,1,1,1
8/14/24,33,1,1,1,1,1,1,1,1,1,1,
8/15/24,33,1,1,1,1,1,1,1,1,1,1,1
8/16/24,33,1,1,1,1,1,1,1,1,1,1,1
8/19/24,34,1,1,1,1,1,1,1,1,1,1,1
8/20/24,34,1,1,1,,,,,,,,
8/21/24,34,1,1,1,1,1,1,1,1,1,1,
8/22/24,34,1,1,1,,,,,,,,
8/23/24,34,1,1,1,1,1,1,1,1,1,1,1
8/26/24,35,1,1,,,,,,,,,
8/27/24,35,1,1,1,1,1,1,1,1,1,,
8/28/24,35,1,1,1,1,1,1,1,1,1,1,
8/29/24,35,1,1,1,1,1,1,1,1,1,1,
8/30/24,35,1,1,1,1,1,1,1,1,1,1,1
9/3/24,36,1,1,1,,,,,,,,
9/4/24,36,1,1,1,1,1,1,1,1,1,1,1
9/5/24,36,1,1,1,1,1,1,1,1,1,1,1
9/6/24,36,1,1,1,1,1,1,1,1,1,1,1
9/9/24,37,1,1,1,1,1,1,1,1,1,1,1
9/10/24,37,1,1,1,,,,,,,,
9/11/24,37,1,1,1,1,1,1,1,1,1,1,1
9/12/24,37,1,1,1,1,1,1,1,1,1,1,1
9/13/24,37,1,1,1,1,1,1,1,1,1,1,1
9/16/24,38,1,1,1,1,1,1,,,,,
9/17/24,38,1,1,1,,,,,,,,
9/18/24,38,1,1,1,1,1,1,1,1,1,1,1
9/19/24,38,1,1,1,,,,,,,,
